48615,48705, 0:27:2,0:27:5
54525,54835, 0:30:19,0:30:29
55285,55870, 0:30:44,0:31:4
60005,60265, 0:33:22,0:33:30
61930,62125, 0:34:26,0:34:32
64695,64815, 0:35:58,0:36:2
68850,69745, 0:38:17,0:38:47
70560,70975, 0:39:14,0:39:28
71845,71935, 0:39:57,0:40:0
73055,73280, 0:40:37,0:40:45
73655,74290, 0:40:57,0:41:18
80545,81185, 0:44:47,0:45:8
81990,82240, 0:45:35,0:45:44
83355,83525, 0:46:21,0:46:26
85400,85870, 0:47:29,0:47:45
90510,92035, 0:50:20,0:51:10
93720,93945, 0:52:7,0:52:14
98405,99010, 0:54:43,0:55:3
101010,102085, 0:56:10,0:56:46
102630,102820, 0:57:4,0:57:10
104950,106470, 0:58:21,0:59:12
106992,108581, 0:59:30,1:0:23
110829,111758, 1:1:38,1:2:9
