14110,14340, 0:7:50,0:7:58
23455,24505, 0:13:2,0:13:37
28315,29350, 0:15:44,0:16:19
30950,31265, 0:17:12,0:17:23
32955,33720, 0:18:19,0:18:45
37295,37795, 0:20:44,0:21:1
41210,41945, 0:22:55,0:23:19
44870,45490, 0:24:57,0:25:17
47805,48315, 0:26:35,0:26:52
50405,51515, 0:28:1,0:28:38
54020,54975, 0:30:2,0:30:34
62085,63405, 0:34:31,0:35:15
64355,65250, 0:35:47,0:36:17
68215,68955, 0:37:56,0:38:20
71400,72975, 0:39:42,0:40:34
75625,76885, 0:42:3,0:42:45
80565,82985, 0:44:48,0:46:8
91500,92155, 0:50:53,0:51:14
