27250,27465, 0:15:9,0:15:16
38965,39870, 0:21:40,0:22:10
43610,43800, 0:24:15,0:24:21
44885,45255, 0:24:57,0:25:10
50720,51315, 0:28:12,0:28:32
58020,59560, 0:32:15,0:33:7
69485,70300, 0:38:38,0:39:5
74815,75560, 0:41:36,0:42:1
76245,76490, 0:42:24,0:42:32
80830,81380, 0:44:57,0:45:15
83240,83600, 0:46:17,0:46:29
87890,89550, 0:48:52,0:49:47
91930,92345, 0:51:7,0:51:21
93545,93920, 0:52:1,0:52:13
95720,97960, 0:53:13,0:54:28
103735,104050, 0:57:41,0:57:51
104910,105060, 0:58:20,0:58:25
105625,105640, 0:58:44,0:58:44
