17810,18645, 0:9:54,0:10:22
26555,27015, 0:14:46,0:15:1
27410,27825, 0:15:14,0:15:28
30315,30830, 0:16:51,0:17:8
32245,32745, 0:17:55,0:18:12
35790,36810, 0:19:54,0:20:28
38525,39990, 0:21:25,0:22:14
42170,42615, 0:23:27,0:23:41
43860,44640, 0:24:23,0:24:49
46410,47060, 0:25:48,0:26:10
51610,52335, 0:28:42,0:29:6
54425,54590, 0:30:15,0:30:21
55025,56585, 0:30:36,0:31:28
57615,58325, 0:32:2,0:32:26
58800,59285, 0:32:41,0:32:58
63750,65335, 0:35:27,0:36:20
68481,71388, 0:38:5,0:39:42
82267,83076, 0:45:45,0:46:12
