12405,12670, 0:6:53,0:7:2
15085,15735, 0:8:23,0:8:45
22720,23570, 0:12:38,0:13:6
27675,28575, 0:15:23,0:15:53
29045,29185, 0:16:9,0:16:13
29365,29425, 0:16:19,0:16:21
38310,39120, 0:21:18,0:21:45
39335,39480, 0:21:52,0:21:57
40695,41260, 0:22:37,0:22:56
52760,53295, 0:29:20,0:29:38
57505,58380, 0:31:58,0:32:27
58620,58820, 0:32:35,0:32:42
63240,63760, 0:35:10,0:35:27
68090,68715, 0:37:51,0:38:12
68920,70005, 0:38:19,0:38:55
73280,74430, 0:40:45,0:41:23
76930,77300, 0:42:46,0:42:59
80315,81245, 0:44:39,0:45:10
83030,85475, 0:46:10,0:47:32
92850,93120, 0:51:38,0:51:47
