32515,32590, 0:18:4,0:18:7
38050,38615, 0:21:9,0:21:28
42070,42570, 0:23:23,0:23:40
43760,44510, 0:24:20,0:24:45
46495,46715, 0:25:51,0:25:58
50315,50665, 0:27:58,0:28:10
59570,60345, 0:33:7,0:33:33
65355,66510, 0:36:20,0:36:59
72665,73145, 0:40:24,0:40:40
75305,76065, 0:41:52,0:42:18
83000,84070, 0:46:9,0:46:45
85055,85315, 0:47:18,0:47:26
86280,86760, 0:47:58,0:48:14
91070,92665, 0:50:38,0:51:31
94365,94695, 0:52:28,0:52:39
95420,97550, 0:53:3,0:54:14
101095,101985, 0:56:13,0:56:42
104715,105524, 0:58:13,0:58:40
109061,109211, 1:0:39,1:0:44
