14290,14440, 0:7:56,0:8:1
15310,15605, 0:8:30,0:8:40
19795,20485, 0:11:0,0:11:23
26375,27080, 0:14:40,0:15:3
30730,31545, 0:17:5,0:17:32
32195,32885, 0:17:54,0:18:17
36250,37040, 0:20:9,0:20:35
41330,42775, 0:22:59,0:23:47
46275,46605, 0:25:44,0:25:55
56375,56985, 0:31:21,0:31:41
60570,62460, 0:33:41,0:34:44
65555,66060, 0:36:27,0:36:44
71275,71840, 0:39:38,0:39:57
74920,75885, 0:41:39,0:42:12
77000,77210, 0:42:49,0:42:56
84910,85425, 0:47:13,0:47:30
86215,86580, 0:47:56,0:48:8
88820,90310, 0:49:23,0:50:13
90825,91440, 0:50:30,0:50:51
105300,105705, 0:58:33,0:58:47
106200,107700, 0:59:3,0:59:53
