25800,25905, 0:14:20,0:14:24
40345,40825, 0:22:26,0:22:42
44990,45500, 0:25:1,0:25:18
48425,48985, 0:26:55,0:27:14
51870,52625, 0:28:50,0:29:15
58260,59225, 0:32:23,0:32:56
61410,61670, 0:34:9,0:34:17
70735,72100, 0:39:20,0:40:5
75090,75605, 0:41:45,0:42:2
76225,76815, 0:42:23,0:42:43
77750,78010, 0:43:14,0:43:22
80355,80995, 0:44:41,0:45:2
84030,85325, 0:46:43,0:47:27
86125,86460, 0:47:53,0:48:4
89845,90645, 0:49:57,0:50:24
94215,95730, 0:52:23,0:53:14
104295,104730, 0:57:59,0:58:14
105120,105270, 0:58:27,0:58:32
106455,106470, 0:59:12,0:59:12
